Ativo,"Minha Categoria",Recebido,"Data pgto.","Data COM",YOC,DY,"Valor por cota"
MXRF11,"Renda Variavel","R$ 124,30",15/09/2023,31/08/2023,"1.06 %","1.00 %","R$ 0,11"
RBFF11,"Renda Variavel","R$ 106,50",15/09/2023,31/08/2023,"0.89 %","0.81 %","R$ 0,50"
RBVA11,"Renda Variavel","R$ 118,00",15/09/2023,31/08/2023,"1.01 %","0.89 %","R$ 1,00"
RZAG11,"Renda Variavel","R$ 54,00",15/09/2023,31/08/2023,"1.42 %","1.40 %","R$ 0,14"
TGAR11,"Renda Variavel","R$ 85,20",15/09/2023,31/08/2023,"1.20 %","1.16 %","R$ 1,42"
VISC11,"Renda Variavel","R$ 79,12",15/09/2023,31/08/2023,"0.84 %","0.76 %","R$ 0,92"
XPLG11,"Renda Variavel","R$ 49,92",15/09/2023,31/08/2023,"0.73 %","0.69 %","R$ 0,78"
GGRC11,"Renda Variavel","R$ 13,30",11/09/2023,01/09/2023,"0.78 %","0.80 %","R$ 0,95"
HSML11,"Renda Variavel","R$ 14,06",08/09/2023,31/08/2023,"0.80 %","0.77 %","R$ 0,74"
SNAG11,"Renda Variavel","R$ 57,60",25/08/2023,15/08/2023,"1.19 %","1.17 %","R$ 0,12"
RBFF11,"Renda Variavel","R$ 106,50",15/08/2023,31/07/2023,"0.89 %","0.82 %","R$ 0,50"
RBVA11,"Renda Variavel","R$ 118,00",15/08/2023,31/07/2023,"1.01 %","0.91 %","R$ 1,00"
BCFF11,"Renda Variavel","R$ 125,44",14/08/2023,07/08/2023,"0.81 %","0.74 %","R$ 0,56"
KNRI11,"Renda Variavel","R$ 98,80",14/08/2023,31/07/2023,"0.64 %","0.59 %","R$ 0,95"
MXRF11,"Renda Variavel","R$ 135,60",14/08/2023,31/07/2023,"1.15 %","1.12 %","R$ 0,12"
RZAG11,"Renda Variavel","R$ 54,00",14/08/2023,31/07/2023,"1.42 %","1.43 %","R$ 0,14"
TGAR11,"Renda Variavel","R$ 84,00",14/08/2023,31/07/2023,"1.19 %","1.14 %","R$ 1,40"
VISC11,"Renda Variavel","R$ 73,10",14/08/2023,31/07/2023,"0.78 %","0.71 %","R$ 0,85"
XPLG11,"Renda Variavel","R$ 49,92",14/08/2023,31/07/2023,"0.73 %","0.68 %","R$ 0,78"
GGRC11,"Renda Variavel","R$ 13,30",08/08/2023,01/08/2023,"0.78 %","0.79 %","R$ 0,95"
HSML11,"Renda Variavel","R$ 14,06",07/08/2023,31/07/2023,"0.80 %","0.78 %","R$ 0,74"
